홍길동,90,86,92,268,89.3
전효재,80,83,95,258,86
김용호,86,91,86,263,87.7
문성준,90,87,69,246,82
김정완,95,86,93,274,91.3
오동식,95,84,95,274,91.3
조상훈,92,86,95,273,91
박정우,84,83,85,252,84
지승범,80,83,84,247,82.3
최진도,75,80,86,241,80.3
송길영,84,84,95,263,87.7
염철범,80,84,90,254,84.7
정현아,75,80,75,230,76.7
이원석,79,82,83,244,81.3
심은혜,83,83,89,255,85
김경민,85,85,91,261,87
박상수,93,83,95,271,90.3
김명관,90,83,93,266,88.7
진유나,90,83,95,268,89.3
윤수경,75,80,77,232,77.3
안정철,82,82,87,251,83.7
민현조,91,88,95,274,91.3
원종철,83,81,85,249,83
박성수,75,80,62,217,72.3
이우철,80,83,87,250,83.3
곽규만,82,83,89,254,84.7
한용희,79,83,80,242,80.7
구본영,93,85,95,273,91
김세형,81,82,74,237,79
이성민,82,82,91,255,85
강인기,90,87,95,272,90.7
김정혜,82,81,90,253,84.3
김성철,82,83,93,258,86
유예림,94,86,76,256,85.3
박참,90,84,95,269,89.7
김영두,75,80,83,238,79.3
박성진,84,83,91,258,86
현준철,80,83,76,239,79.7
김광모,75,80,66,221,73.7
도혜진,93,84,95,272,90.7
윤용택,80,82,70,232,77.3
김종섭,80,82,91,253,84.3
구교민,82,83,95,260,86.7
홍지원,84,84,93,261,87
오지혜,92,83,87,262,87.3
김대성,90,91,93,274,91.3
박지훈,88,90,69,247,82.3
김이정,86,83,95,264,88
박창수,97,89,95,281,93.7
양동현,90,85,79,254,84.7
